node_id,x_coord,y_coord,zone_id,node_type,external_node
52,413486.2101,4641959.6,52,centroid,0
53,413639.6478,4641524.786,53,centroid,0
54,412496.7089,4641068.255,54,centroid,0
55,413090.5456,4641020.476,55,centroid,0
56,413458.0795,4641039.922,56,centroid,0
57,413884.8022,4641140.104,57,centroid,0
58,420146.5907,4643070.759,58,centroid,0
59,421778.3995,4642996.122,59,centroid,0
60,420155.9418,4642271.029,60,centroid,0
61,420182.4674,4641468.439,61,centroid,0
62,421716.7888,4641870.617,62,centroid,0
63,423260.3021,4642049.577,63,centroid,0
64,423253.7345,4641212.223,64,centroid,0
65,419968.3418,4640372.691,65,centroid,0
66,421276.0503,4640256.276,66,centroid,0
67,422070.4975,4640254.377,67,centroid,0
68,422999.2276,4640093.118,68,centroid,0
69,424036.7046,4640112.619,69,centroid,0
70,421405.8618,4638650.037,70,centroid,0
71,422120.381,4638650.478,71,centroid,0
72,423010.1852,4638636.105,72,centroid,0
73,424012.4301,4638634.412,73,centroid,0
74,425022.1474,4640222.384,74,centroid,0
75,425478.1129,4638274.273,75,centroid,0
76,426774.6759,4638381.984,76,centroid,0
77,425363.7786,4637527.33,77,centroid,0
78,426016.5455,4637440.014,78,centroid,0
79,426979.2869,4637433.161,79,centroid,0
80,425618.9865,4636353.252,80,centroid,0
81,426015.454,4636634.76,81,centroid,0
82,426857.753,4636641.764,82,centroid,0
83,425526.2958,4635133.104,83,centroid,0
84,426011.5519,4635647.278,84,centroid,0
85,426642.8519,4635835.581,85,centroid,0
86,425547.9786,4634207.285,86,centroid,0
87,425890.8574,4634392.191,87,centroid,0
88,425031.6998,4633386.964,88,centroid,0
89,425619.2634,4633393.188,89,centroid,0
90,426370.237,4633240.507,90,centroid,0
91,424362.4999,4631984.745,91,centroid,0
92,425131.237,4632092.064,92,centroid,0
93,426234.8792,4632301.055,93,centroid,0
94,416730.0274,4635252.226,94,centroid,0
95,417361.3608,4635210.318,95,centroid,0
96,418099.9167,4635260.372,96,centroid,0
97,416776.5008,4634450.6,97,centroid,0
98,417362.4915,4634619.027,98,centroid,0
99,418157.7568,4634575.297,99,centroid,0
100,417315.4204,4634014.83,100,centroid,0
101,418114.7468,4634001.575,101,centroid,0
102,418862.7662,4634215.405,102,centroid,0
103,433924.0962,4643813.455,103,centroid,0
104,432113.7156,4641702.717,104,centroid,0
105,432765.6404,4642500.539,105,centroid,0
106,433481.4646,4642837.777,106,centroid,0
107,433310.9913,4641838.823,107,centroid,0
108,433885.0342,4642092.507,108,centroid,0
109,434172.0248,4641663.181,109,centroid,0
110,431859.1542,4641290.689,110,centroid,0
