A,B,DISTANCE,STREET,ONEWAY,LINKID,TAZID,PATHGRP,TRK_RSTRCT,DISTEXCEPT,RAILSPD,HOV_LYEAR,LN_2015,LN_2019,LN19_2024,LN19_2030,LN19_2040,LN19_2050,LN19_2030UF,LN19_2040UF,LN19_2050UF,LN_P4_EOP3,LN_2040_T,TRN_2015,TRN_2019,TRN19_2024,TRN19_2030,TRN19_2040,TRN19_2050,TRN19_2030U,TRN19_2040U,TRN19_2050U,TN_P4_EOP3,TRN_EOP3,FT_2015,FT_2019,FT19_2024,FT19_2030,FT19_2040,FT19_2050,FT19_2030UF,FT19_2040UF,FT19_2050UF,FT_P4_EOP3,SFAC,CFAC,SCREN_SML,SCREN_MED,SCREN_LRG,SCREN_MPO,JEFF_EDIT,UDOT_FC,UDOTFCCODE,UDOT_AT,TYPE,PROJFLAG,PROJ_ID_N,GEOMETRYSO,GEOMETRY_1,SEGID,TRNSFSRC,JOINDIST,NEW,USE,REMOVE,SHAPE_LENG,GEOMETRY_2,GEOMETRY_3,SHAPE_LE_1,LN23_2028,TRN23_2028,FT23_2028,PASSLANE,SELGRP,LN23_2032,LN23_2042,LN23_2050,LN23_2032UF,LN23_2042UF,LN23_2050UF,TL23_2032,TL23_2042,TL23_2050,TL23_2032UF,TL23_2042UF,TL23_2050UF,PL23_2032,PL23_2042,PL23_2050,PL23_2032UF,PL23_2042UF,PL23_2050UF,FT23_2032,FT23_2042,FT23_2050,FT23_2032UF,FT23_2042UF,FT23_2050UF,LN_2023,FT_2023,TRN_2023,PL_2023,LN_TMP,TRN_TMP,FT_TMP,PL_TMP,PROJECT_NUM
"1094","1531",0.53054,SR-23,"2",1094_1531,"711","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","4","0","4","4","4","4","4","4","4","4","4","4",0.00,"0","0","0","0","0","0",Major Collector,"5",Rural,Arterial,"0",0.0,"1","1",0023_012.6,NBSB_Hwy_SJ,1.29767,"1","1","0",2801.23633,"1","1",2801.23633,"1","0","4","0","0","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","4","4","4","4","4","4","1","4","0","0","1","0","4","0",
"1095","1057",0.06676,N 1000 W,"2",1095_1057,"349","0","0","0","0","0","2","2","2","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","3","0","2","2","2","2","2","2","2","2","2","2",0.00,"0","0","0","0","0","1",Other Principal A,"3",Urban,Arterial,"0",0.0,"1","1",0252_002.6,NBSB_Hwy_SJ,4.18843,"1","1","0",352.47083,"1","1",352.47083,"2","1","2","0","0","2","2","2","2","2","2","1","1","1","1","1","1","0","0","0","0","0","0","2","2","2","2","2","2","2","2","1","0","2","1","2","0",
"1095","1663",0.19660,SR-30,"2",1095_1663,"351","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","0","2","2","2","2","2","2","2","2","2","2",0.80,"0","0","0","0","0","0",Other Principal A,"3",Urban,Arterial,"0",0.0,"1","1",0030_108.7,EBWB_Hwy_SJ,0.56300,"1","1","0",1038.27700,"1","1",1038.27700,"1","1","2","0","0","1","1","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","0","2","2","2","2","2","2","1","2","1","0","1","1","2","0",
"1095","1831",0.25834,1000 West,"2",1095_1831,"377","0","0","0","0","0","2","2","2","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","3","0","2","2","2","2","2","2","2","2","2","2",0.00,"0","0","0","0","0","1",Other Principal A,"3",Urban,Arterial,"0",0.0,"1","1",0252_001.6,NBSB_Hwy_SJ,1.68536,"1","1","0",1364.03442,"1","1",1364.03442,"2","1","2","0","0","2","2","2","2","2","2","1","1","1","1","1","1","0","0","0","0","0","0","2","2","2","2","2","2","2","2","1","0","2","1","2","0",
"1095","1999",0.23090,SR-30,"2",1095_1999,"377","0","0","0","0","0","1","1","1","2","2","2","2","2","2","2","2","0","0","0","1","1","1","1","1","1","1","0","2","2","2","2","2","2","2","2","2","2",0.00,"0","0","0","0","0","0",Other Principal A,"3",Urban,Arterial,"1",0.0,"1","1",0030_107.6,EBWB_Hwy_SJ,1.19520,"1","1","0",1219.39920,"1","1",1219.39920,"1","0","2","0","0","2","2","2","1","1","2","1","1","1","1","1","0","0","0","0","0","0","0","2","2","2","2","2","2","1","2","0","0","2","0","2","0",S-1
"1096","355",0.13170,,"2",1096_348,"348","0","0","0","0","0","7","7","7","7","7","7","7","7","7","7","7","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1",0.00,"0","0","0","0","0","0",,"0",Urban,,"0",0.0,"1","1",,,0.00000,"0","0","0",695.35992,"1","1",695.35992,"7","0","1","0","0","7","7","7","7","7","7","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","7","1","0","0","7","0","1","0",
"1096","1423",0.12392,N 1000 W,"2",1096_1423,"348","0","0","0","0","0","2","2","2","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","3","0","2","2","2","2","2","2","2","2","2","2",0.00,"0","0","0","0","0","1",Other Principal A,"3",Urban,Arterial,"0",0.0,"1","1",0252_002.6,NBSB_Hwy_SJ,0.73757,"1","1","0",654.32001,"1","1",654.32001,"2","1","2","0","0","2","2","2","2","2","2","1","1","1","1","1","1","0","0","0","0","0","0","2","2","2","2","2","2","2","2","1","0","2","1","2","0",
"1096","2012",0.19521,N 1000 W,"2",1096_2012,"350","0","0","0","0","0","2","2","2","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","3","0","2","2","2","2","2","2","2","2","2","2",0.00,"0","0","0","0","0","1",Other Principal A,"3",Urban,Arterial,"0",0.0,"1","1",0252_002.6,NBSB_Hwy_SJ,1.02958,"1","1","0",1030.71753,"1","1",1030.71753,"2","1","2","0","0","2","2","2","2","2","2","1","1","1","1","1","1","0","0","0","0","0","0","2","2","2","2","2","2","2","2","1","0","2","1","2","0",
"1097","737",0.73558,,"2",1097_716,"716","0","0","0","0","0","7","7","7","7","7","7","7","7","7","7","7","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1",0.00,"0","0","0","0","0","0",,"0",Rural,,"0",0.0,"1","1",,,0.00000,"0","0","0",3883.87598,"1","1",3883.87598,"7","0","1","0","0","7","7","7","7","7","7","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","7","1","0","0","7","0","1","0",
"1097","738",0.93078,,"2",1097_717,"717","0","0","0","0","0","7","7","7","7","7","7","7","7","7","7","7","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1",0.00,"0","0","0","0","0","0",,"0",Rural,,"0",0.0,"1","1",,,0.00000,"0","0","0",4914.50244,"1","1",4914.50244,"7","0","1","0","0","7","7","7","7","7","7","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","7","1","0","0","7","0","1","0",
