from_node_id,to_node_id,link_id,length,directed,name,zone_id,capacity_scaling_factor,area_type,lanes,raw_capacity,speed,ftype,capacity,GEOMETRYSO,GEOMETRY_1,GEOMETRY_2,GEOMETRY_3,TL23_2032,TRN_2023
2395,309,2395_309,0.10453,0,,306,1,Urban,7,10000,16,Centroid Connector,,1,1,1,1,0,0
2395,336,2395_336,0.18709,0,,332,1,Urban,7,10000,16,Centroid Connector,,1,1,1,1,0,0
2395,1233,2395_1233,0.136,0,1000,332,1,Urban,1,840,23,Minor Arterial,,1,1,1,1,1,1
2395,1653,2395_1653,0.1234,0,1000,332,1,Urban,1,840,23,Minor Arterial,,1,1,1,1,1,1
2396,336,2396_336,0.12938,0,,332,1,Urban,7,10000,16,Centroid Connector,,1,1,1,1,0,0
2396,1653,2396_1653,0.19283,0,400 E,332,1,Urban,1,412,18,Local,,1,1,1,1,0,0
2396,2198,2396_2198,0.17832,0,400 E,332,1,Urban,1,412,18,Local,,1,1,1,1,0,0
2397,374,2397_374,0.06509,0,,353,1,Urban,7,10000,16,Centroid Connector,,1,1,1,1,0,0
2397,377,2397_377,0.06625,0,,367,1,Urban,7,10000,16,Centroid Connector,,1,1,1,1,0,0
2397,1289,2397_1289,0.06502,0,N 600 E,365,1,Urban,1,666,22,Major Collector,,1,1,1,1,0,0
2397,1291,2397_1291,0.06671,0,N 600 E,365,1,Urban,1,666,22,Major Collector,,1,1,1,1,0,0
2398,335,2398_335,0.15063,0,,331,1,Urban,7,10000,16,Centroid Connector,,1,1,1,1,0,0
2398,1182,2398_1182,0.0637,0,SR-91,331,1,Urban,2,892,28,Principal Arterial,,1,1,1,1,1,1
2398,1183,2398_1183,0.0524,0,SR-91,331,1,Urban,2,892,28,Principal Arterial,,1,1,1,1,1,1
2399,335,2399_335,0.14507,0,,331,1,Urban,7,10000,16,Centroid Connector,,1,1,1,1,0,0
2399,1652,2399_1652,0.06712,0,700 North,331,1,Urban,1,412,18,Local,,1,1,1,1,0,0
2399,2735,2399_2735,0.07149,0,700 North,331,1,Urban,1,412,18,Local,,1,1,1,1,0,0
2400,359,2400_359,0.12578,0,,352,1,Urban,7,10000,16,Centroid Connector,,1,1,1,1,0,0
2400,360,2400_360,0.13269,0,,353,1,Urban,7,10000,16,Centroid Connector,,1,1,1,1,0,0
2400,1129,2400_1129,0.11648,0,W 400 N,352,1,Urban,1,412,18,Local,,1,1,1,1,0,0
2400,1665,2400_1665,0.11479,0,W 400 N,352,1,Urban,1,412,18,Local,,1,1,1,1,0,0
2401,360,2401_360,0.1153,0,,353,1,Urban,7,10000,16,Centroid Connector,,1,1,1,1,0,0
2401,363,2401_363,0.06717,0,,353,1,Urban,7,10000,16,Centroid Connector,,1,1,1,1,0,0
2401,1665,2401_1665,0.13405,0,400 West,355,1,Urban,1,412,18,Local,,1,1,1,1,0,0
2401,1672,2401_1672,0.13122,0,400 West,355,1,Urban,1,412,18,Local,,1,1,1,1,0,0
2402,2667,2402_2667,0.13675,0,300 W,393,1,Urban,1,412,18,Local,,1,1,1,1,0,0
2402,2668,2402_2668,0.13096,0,300 W,393,1,Urban,1,412,18,Local,,1,1,1,1,0,0
2402,2671,2402_2671,0.0644,0,SR-30,380,0.8,Urban,1,930,28,Principal Arterial,,1,1,1,1,1,1
2402,2672,2402_2672,0.06847,0,SR-30,380,1,Urban,1,930,28,Principal Arterial,,1,1,1,1,1,1
2403,364,2403_364,0.06714,0,,353,1,Urban,7,10000,16,Centroid Connector,,1,1,1,1,0,0
2403,366,2403_366,0.06561,0,,357,1,Urban,7,10000,16,Centroid Connector,,1,1,1,1,0,0
2403,1149,2403_1149,0.12947,0,200 W,357,1,Urban,1,515,21,Minor Collector,,1,1,1,1,0,0
2403,1151,2403_1151,0.1352,0,200 W,357,1,Urban,1,515,21,Minor Collector,,1,1,1,1,0,0
2404,2667,2404_2667,0.12834,0,300 W,393,1,Urban,1,412,18,Local,,1,1,1,1,0,0
2404,2669,2404_2669,0.06638,0,W 400 N,355,1,Urban,1,412,18,Local,,1,1,1,1,0,0
2404,2670,2404_2670,0.0635,0,W 400 N,355,1,Urban,1,412,18,Local,,1,1,1,1,0,0
2405,366,2405_366,0.13257,0,,357,1,Urban,7,10000,16,Centroid Connector,,1,1,1,1,0,0
2405,392,2405_392,0.13263,0,,381,1,Urban,7,10000,16,Centroid Connector,,1,1,1,1,0,0
2405,1149,2405_1149,0.06847,0,SR-30,357,1,Urban,1,930,28,Principal Arterial,,1,1,1,1,1,1
2405,1162,2405_1162,0.06545,0,SR-30,357,1,Urban,1,930,28,Principal Arterial,,1,1,1,1,1,1
2406,366,2406_366,0.13286,0,,357,1,Urban,7,10000,16,Centroid Connector,,1,1,1,1,0,0
2406,1151,2406_1151,0.07053,0,W 400 N,356,1,Urban,1,515,21,Minor Collector,,1,1,1,1,0,0
2406,1163,2406_1163,0.06283,0,W 400 N,356,1,Urban,1,515,21,Minor Collector,,1,1,1,1,0,0
2407,390,2407_390,0.06686,0,,353,1,Urban,7,10000,16,Centroid Connector,,1,1,1,1,0,0
2407,392,2407_392,0.06612,0,,381,1,Urban,7,10000,16,Centroid Connector,,1,1,1,1,0,0
2407,1149,2407_1149,0.13689,0,200 W,381,1,Urban,1,515,21,Minor Collector,,1,1,1,1,0,0
2407,1682,2407_1682,0.12834,0,200 W,381,1,Urban,1,515,21,Minor Collector,,1,1,1,1,0,0
2408,392,2408_392,0.13274,0,,381,1,Urban,7,10000,16,Centroid Connector,,1,1,1,1,0,0
2408,1159,2408_1159,0.07503,0,W CENTER ST,381,1,Urban,1,515,21,Minor Collector,,1,1,1,1,0,0
2408,1682,2408_1682,0.05754,0,W CENTER ST,381,1,Urban,1,515,21,Minor Collector,,1,1,1,1,0,0
2409,391,2409_391,0.13361,0,,353,1,Urban,7,10000,16,Centroid Connector,,1,1,1,1,0,0
2409,404,2409_404,0.1368,0,,393,1,Urban,7,10000,16,Centroid Connector,,1,1,1,1,0,0
2409,1680,2409_1680,0.09527,0,W CENTER ST,380,1,Urban,1,515,21,Minor Collector,,1,1,1,1,0,0
2409,2213,2409_2213,0.03731,0,W CENTER ST,380,1,Urban,1,515,21,Minor Collector,,1,1,1,1,0,0
2410,389,2410_389,0.11771,0,,379,1,Urban,7,10000,16,Centroid Connector,,1,1,1,1,0,0
