N,X,Y,TAZID,EXTERNAL,PNR_2015,PNR_2019,PNR_2024,PNR_2030,PNR_2040,PNR_2050,PNR_2030UF,PNR_2040UF,PNR_2050UF,GEOMETRYSO,GEOMETRY_1
"127",430733.41113,4633262.18371,"127","0","0","0","0","0","0","0","0","0","0","1","1"
"128",431261.28813,4633283.21529,"128","0","0","0","0","0","0","0","0","0","0","1","1"
"129",431942.82155,4633326.57640,"129","0","0","0","0","0","0","0","0","0","0","1","1"
"130",432707.06055,4633326.47302,"130","0","0","0","0","0","0","0","0","0","0","1","1"
"131",429483.88283,4632568.24801,"131","0","0","0","0","0","0","0","0","0","0","1","1"
"132",430152.28562,4632806.66480,"132","0","0","0","0","0","0","0","0","0","0","1","1"
"133",430654.14849,4632784.08686,"133","0","0","0","0","0","0","0","0","0","0","1","1"
"134",431120.94442,4632770.10780,"134","0","0","0","0","0","0","0","0","0","0","1","1"
"135",431475.71618,4632651.63882,"135","0","0","0","0","0","0","0","0","0","0","1","1"
"136",432076.14264,4632726.12527,"136","0","0","0","0","0","0","0","0","0","0","1","1"
"137",430139.32951,4632453.97045,"137","0","0","0","0","0","0","0","0","0","0","1","1"
"138",430640.43476,4632425.81542,"138","0","0","0","0","0","0","0","0","0","0","1","1"
"139",431107.61913,4632302.58319,"139","0","0","0","0","0","0","0","0","0","0","1","1"
"140",431491.17348,4632209.47044,"140","0","0","0","0","0","0","0","0","0","0","1","1"
"141",429502.62476,4631847.12662,"141","0","0","0","0","0","0","0","0","0","0","1","1"
"142",430132.13166,4632102.71567,"142","0","0","0","0","0","0","0","0","0","0","1","1"
"143",430634.08247,4632082.25107,"143","0","0","0","0","0","0","0","0","0","0","1","1"
"144",430119.17554,4631773.05442,"144","0","0","0","0","0","0","0","0","0","0","1","1"
"145",430624.17985,4631735.14088,"145","0","0","0","0","0","0","0","0","0","0","1","1"
"146",431088.60184,4631605.95711,"146","0","0","0","0","0","0","0","0","0","0","1","1"
"147",431433.19246,4631581.08526,"147","0","0","0","0","0","0","0","0","0","0","1","1"
"148",432179.63283,4632429.28811,"148","0","0","0","0","0","0","0","0","0","0","1","1"
"149",431721.01262,4631798.09963,"149","0","0","0","0","0","0","0","0","0","0","1","1"
"150",432031.65957,4631885.00788,"150","0","0","0","0","0","0","0","0","0","0","1","1"
"151",432683.24764,4632349.50933,"151","0","0","0","0","0","0","0","0","0","0","1","1"
"152",432981.93393,4632042.92063,"152","0","0","0","0","0","0","0","0","0","0","1","1"
"153",433415.56661,4632231.32360,"153","0","0","0","0","0","0","0","0","0","0","1","1"
"154",431730.24021,4631433.59105,"154","0","0","0","0","0","0","0","0","0","0","1","1"
"155",432145.27522,4631398.92567,"155","0","0","0","0","0","0","0","0","0","0","1","1"
"156",432559.49840,4631797.11668,"156","0","0","0","0","0","0","0","0","0","0","1","1"
"157",432951.40432,4631388.29454,"157","0","0","0","0","0","0","0","0","0","0","1","1"
"158",433541.16150,4631489.43703,"158","0","0","0","0","0","0","0","0","0","0","1","1"
"159",429276.13723,4631006.97068,"159","0","0","0","0","0","0","0","0","0","0","1","1"
"160",429698.98338,4631020.68319,"160","0","0","0","0","0","0","0","0","0","0","1","1"
"161",430111.97770,4631303.75500,"161","0","0","0","0","0","0","0","0","0","0","1","1"
"162",430610.00400,4631272.51333,"162","0","0","0","0","0","0","0","0","0","0","1","1"
"163",430086.92937,4630795.21067,"163","0","0","0","0","0","0","0","0","0","0","1","1"
"164",430559.03017,4630791.73457,"164","0","0","0","0","0","0","0","0","0","0","1","1"
"165",431186.61523,4631139.68356,"165","0","0","0","0","0","0","0","0","0","0","1","1"
"166",431105.98074,4630795.18716,"166","0","0","0","0","0","0","0","0","0","0","1","1"
"167",431686.51649,4630853.68364,"167","0","0","0","0","0","0","0","0","0","0","1","1"
"168",432201.35474,4630895.89021,"168","0","0","0","0","0","0","0","0","0","0","1","1"
"169",432591.12985,4630883.30148,"169","0","0","0","0","0","0","0","0","0","0","1","1"
"170",432908.43264,4630845.35703,"170","0","0","0","0","0","0","0","0","0","0","1","1"
"171",433447.72753,4630846.83764,"171","0","0","0","0","0","0","0","0","0","0","1","1"
"172",429440.42920,4630127.75753,"172","0","0","0","0","0","0","0","0","0","0","1","1"
"173",430067.05444,4630108.84187,"173","0","0","0","0","0","0","0","0","0","0","1","1"
"174",430551.95093,4630113.45568,"174","0","0","0","0","0","0","0","0","0","0","1","1"
"175",431095.05495,4630358.04667,"175","0","0","0","0","0","0","0","0","0","0","1","1"
"176",431056.22262,4629966.27121,"176","0","0","0","0","0","0","0","0","0","0","1","1"
"177",431695.58616,4630213.75230,"177","0","0","0","0","0","0","0","0","0","0","1","1"
"178",430528.68519,4629455.15742,"178","0","0","0","0","0","0","0","0","0","0","1","1"
"179",431093.86744,4629559.50166,"179","0","0","0","0","0","0","0","0","0","0","1","1"
"180",431762.67501,4629572.98907,"180","0","0","0","0","0","0","0","0","0","0","1","1"
"181",432402.36208,4629944.75064,"181","0","0","0","0","0","0","0","0","0","0","1","1"
"182",432974.48748,4629891.92529,"182","0","0","0","0","0","0","0","0","0","0","1","1"
"183",430517.56061,4629051.20819,"183","0","0","0","0","0","0","0","0","0","0","1","1"
"184",430105.54337,4628602.70960,"184","0","0","0","0","0","0","0","0","0","0","1","1"
"185",430100.17359,4628080.91100,"185","0","0","0","0","0","0","0","0","0","0","1","1"
"186",430612.06996,4628370.56758,"186","0","0","0","0","0","0","0","0","0","0","1","1"
"187",431057.38214,4628986.54003,"187","0","0","0","0","0","0","0","0","0","0","1","1"
"188",431533.59481,4629065.82857,"188","0","0","0","0","0","0","0","0","0","0","1","1"
"189",431973.74261,4629082.14227,"189","0","0","0","0","0","0","0","0","0","0","1","1"
"190",432425.69035,4629090.14329,"190","0","0","0","0","0","0","0","0","0","0","1","1"
"191",431551.29735,4628657.95373,"191","0","0","0","0","0","0","0","0","0","0","1","1"
"192",431963.72200,4628665.65384,"192","0","0","0","0","0","0","0","0","0","0","1","1"
"193",432488.57337,4628702.95713,"193","0","0","0","0","0","0","0","0","0","0","1","1"
"194",430939.03467,4628239.85995,"194","0","0","0","0","0","0","0","0","0","0","1","1"
"195",431418.66124,4628194.83040,"195","0","0","0","0","0","0","0","0","0","0","1","1"
"196",431839.47271,4628128.82681,"196","0","0","0","0","0","0","0","0","0","0","1","1"
"197",432253.93047,4627895.46085,"0","0","0","0","0","0","0","0","0","0","0","1","1"
"198",432477.16854,4628142.35183,"0","0","0","0","0","0","0","0","0","0","0","1","1"
"199",433000.85462,4628316.93325,"198","0","0","0","0","0","0","0","0","0","0","1","1"
"200",433651.30316,4628941.04968,"199","0","0","0","0","0","0","0","0","0","0","1","1"
"201",430228.00610,4627578.86395,"200","0","0","0","0","0","0","0","0","0","0","1","1"
"202",430916.38571,4627481.33344,"201","0","0","0","0","0","0","0","0","0","0","1","1"
"203",431356.46608,4627593.69649,"202","0","0","0","0","0","0","0","0","0","0","1","1"
"204",431753.49214,4627612.68973,"0","0","0","0","0","0","0","0","0","0","0","1","1"
"205",431604.27506,4627468.13924,"0","0","0","0","0","0","0","0","0","0","0","1","1"
"206",432138.31193,4627565.02903,"204","0","0","0","0","0","0","0","0","0","0","1","1"
"207",432544.77080,4627550.98116,"205","0","0","0","0","0","0","0","0","0","0","1","1"
"208",433150.34059,4627627.42740,"206","0","0","0","0","0","0","0","0","0","0","1","1"
"209",433900.44599,4627857.72800,"207","0","0","0","0","0","0","0","0","0","0","1","1"
"210",429933.41923,4626933.50025,"208","0","0","0","0","0","0","0","0","0","0","1","1"
"211",430464.43544,4626922.51461,"209","0","0","0","0","0","0","0","0","0","0","1","1"
"212",430894.38370,4626834.15033,"0","0","0","0","0","0","0","0","0","0","0","1","1"
"213",431410.27572,4627181.03803,"211","0","0","0","0","0","0","0","0","0","0","1","1"
"214",431368.55607,4626720.09530,"0","0","0","0","0","0","0","0","0","0","0","1","1"
"215",431858.10809,4626928.89639,"0","0","0","0","0","0","0","0","0","0","0","1","1"
"216",432241.16425,4626907.74953,"214","0","0","0","0","0","0","0","0","0","0","1","1"
"217",432780.77810,4627151.59658,"215","0","0","0","0","0","0","0","0","0","0","1","1"
"218",433544.78779,4627113.95915,"216","0","0","0","0","0","0","0","0","0","0","1","1"
"219",432800.93520,4626740.59374,"0","0","0","0","0","0","0","0","0","0","0","1","1"
"220",432030.73394,4626184.40995,"0","0","0","0","0","0","0","0","0","0","0","1","1"
"221",429969.80932,4626289.19427,"219","0","0","0","0","0","0","0","0","0","0","1","1"
"222",429952.03983,4625745.36162,"220","0","0","0","0","0","0","0","0","0","0","1","1"
"223",430503.84677,4625992.76582,"221","0","0","0","0","0","0","0","0","0","0","1","1"
"224",430843.09963,4626007.27638,"0","0","0","0","0","0","0","0","0","0","0","1","1"
"225",431275.67352,4626113.09067,"0","0","0","0","0","0","0","0","0","0","0","1","1"
"226",431397.47348,4625675.09168,"225","0","0","0","0","0","0","0","0","0","0","1","1"
"227",431789.21649,4625719.14649,"226","0","0","0","0","0","0","0","0","0","0","1","1"
"228",432255.28169,4625712.92955,"227","0","0","0","0","0","0","0","0","0","0","1","1"
"229",432809.65121,4625926.95449,"0","0","0","0","0","0","0","0","0","0","0","1","1"
"230",433554.24190,4626716.07949,"229","0","0","0","0","0","0","0","0","0","0","1","1"
"231",433550.69679,4626106.87772,"230","0","0","0","0","0","0","0","0","0","0","1","1"
"232",435069.86574,4626525.14192,"231","0","0","0","0","0","0","0","0","0","0","1","1"
"233",429865.57336,4625159.45068,"232","0","0","0","0","0","0","0","0","0","0","1","1"
"234",430485.11569,4625153.79493,"233","0","0","0","0","0","0","0","0","0","0","1","1"
"235",430881.33786,4625101.00683,"0","0","0","0","0","0","0","0","0","0","0","1","1"
"236",431082.74287,4625269.90031,"0","0","0","0","0","0","0","0","0","0","0","1","1"
"237",431376.88036,4625122.61555,"235","0","0","0","0","0","0","0","0","0","0","1","1"
"238",431783.80643,4625108.41282,"236","0","0","0","0","0","0","0","0","0","0","1","1"
"239",432187.57308,4625106.78748,"237","0","0","0","0","0","0","0","0","0","0","1","1"
"240",432814.55455,4625100.39249,"238","0","0","0","0","0","0","0","0","0","0","1","1"
"241",433602.53158,4625281.30962,"239","0","0","0","0","0","0","0","0","0","0","1","1"
"242",434744.03490,4625276.46075,"240","0","0","0","0","0","0","0","0","0","0","1","1"
"243",430474.46160,4624641.69586,"241","0","0","0","0","0","0","0","0","0","0","1","1"
"244",430896.92680,4624423.49057,"242","0","0","0","0","0","0","0","0","0","0","1","1"
"245",431341.74265,4624404.59969,"243","0","0","0","0","0","0","0","0","0","0","1","1"
"246",431757.07232,4624400.74845,"244","0","0","0","0","0","0","0","0","0","0","1","1"
"247",432165.32129,4624391.63956,"245","0","0","0","0","0","0","0","0","0","0","1","1"
"248",432751.07464,4624624.40984,"246","0","0","0","0","0","0","0","0","0","0","1","1"
"249",432726.44446,4624247.87199,"247","0","0","0","0","0","0","0","0","0","0","1","1"
"250",433536.01834,4624678.31538,"248","0","0","0","0","0","0","0","0","0","0","1","1"
"251",433535.07384,4624278.03756,"249","0","0","0","0","0","0","0","0","0","0","1","1"
"252",434136.46398,4624676.72741,"250","0","0","0","0","0","0","0","0","0","0","1","1"
"253",434123.88658,4624276.33763,"251","0","0","0","0","0","0","0","0","0","0","1","1"
"254",434886.22761,4624512.47641,"252","0","0","0","0","0","0","0","0","0","0","1","1"
"255",430879.75645,4623686.66794,"253","0","0","0","0","0","0","0","0","0","0","1","1"
"256",431309.55193,4623696.08596,"254","0","0","0","0","0","0","0","0","0","0","1","1"
"257",431726.60687,4623692.63999,"255","0","0","0","0","0","0","0","0","0","0","1","1"
"258",432139.80163,4623680.98616,"256","0","0","0","0","0","0","0","0","0","0","1","1"
"259",432765.83595,4623666.37562,"257","0","0","0","0","0","0","0","0","0","0","1","1"
"260",433508.61075,4623721.97953,"258","0","0","0","0","0","0","0","0","0","0","1","1"
"261",434334.81010,4623876.62573,"259","0","0","0","0","0","0","0","0","0","0","1","1"
"262",435165.01855,4623953.48842,"260","0","0","0","0","0","0","0","0","0","0","1","1"
"263",425129.11650,4626867.46602,"261","0","0","0","0","0","0","0","0","0","0","1","1"
"264",426410.66342,4626318.47497,"262","0","0","0","0","0","0","0","0","0","0","1","1"
"265",426936.88816,4626982.23292,"263","0","0","0","0","0","0","0","0","0","0","1","1"
"266",428763.72854,4626909.63503,"264","0","0","0","0","0","0","0","0","0","0","1","1"
"267",427440.97708,4625605.61835,"265","0","0","0","0","0","0","0","0","0","0","1","1"
"268",422921.35778,4625937.43934,"266","0","0","0","0","0","0","0","0","0","0","1","1"
"269",425040.78165,4625880.92844,"267","0","0","0","0","0","0","0","0","0","0","1","1"
"270",423024.32964,4624620.90510,"268","0","0","0","0","0","0","0","0","0","0","1","1"
"271",425048.22708,4624463.84958,"269","0","0","0","0","0","0","0","0","0","0","1","1"
"272",426326.27700,4624808.12210,"270","0","0","0","0","0","0","0","0","0","0","1","1"
"273",426461.49889,4623488.19535,"271","0","0","0","0","0","0","0","0","0","0","1","1"
"274",427549.58265,4624819.62817,"272","0","0","0","0","0","0","0","0","0","0","1","1"
"275",428442.52972,4625225.01757,"273","0","0","0","0","0","0","0","0","0","0","1","1"
"276",429124.70348,4625187.77780,"274","0","0","0","0","0","0","0","0","0","0","1","1"
"277",428432.97274,4624492.29595,"275","0","0","0","0","0","0","0","0","0","0","1","1"
"278",429131.74849,4624483.27701,"276","0","0","0","0","0","0","0","0","0","0","1","1"
"279",429659.65539,4624467.00881,"277","0","0","0","0","0","0","0","0","0","0","1","1"
"280",430069.35743,4624455.18117,"278","0","0","0","0","0","0","0","0","0","0","1","1"
"281",430461.18959,4624228.81354,"279","0","0","0","0","0","0","0","0","0","0","1","1"
"282",427547.99973,4623810.82766,"280","0","0","0","0","0","0","0","0","0","0","1","1"
"283",428411.37848,4623668.65259,"281","0","0","0","0","0","0","0","0","0","0","1","1"
"284",429129.40015,4623659.01108,"282","0","0","0","0","0","0","0","0","0","0","1","1"
"285",429664.64655,4623640.39816,"283","0","0","0","0","0","0","0","0","0","0","1","1"
"286",430048.45702,4623628.89689,"284","0","0","0","0","0","0","0","0","0","0","1","1"
"287",430446.91945,4623616.17792,"285","0","0","0","0","0","0","0","0","0","0","1","1"
"288",430837.57380,4623282.33518,"286","0","0","0","0","0","0","0","0","0","0","1","1"
"289",431290.26102,4623285.25660,"287","0","0","0","0","0","0","0","0","0","0","1","1"
"290",431706.54339,4623278.05851,"288","0","0","0","0","0","0","0","0","0","0","1","1"
"291",432128.52630,4623264.03703,"289","0","0","0","0","0","0","0","0","0","0","1","1"
"292",432701.58975,4623230.06779,"290","0","0","0","0","0","0","0","0","0","0","1","1"
"293",433240.88856,4623212.10026,"291","0","0","0","0","0","0","0","0","0","0","1","1"
"294",433727.71920,4623365.26985,"292","0","0","0","0","0","0","0","0","0","0","1","1"
"295",434155.95311,4623466.35663,"293","0","0","0","0","0","0","0","0","0","0","1","1"
"296",434161.18226,4623115.51782,"294","0","0","0","0","0","0","0","0","0","0","1","1"
"297",434858.52484,4623367.93281,"295","0","0","0","0","0","0","0","0","0","0","1","1"
"298",427564.53222,4622871.89498,"296","0","0","0","0","0","0","0","0","0","0","1","1"
"299",428383.69903,4622851.56980,"297","0","0","0","0","0","0","0","0","0","0","1","1"
"300",429084.78177,4622839.44183,"298","0","0","0","0","0","0","0","0","0","0","1","1"
"301",429610.99506,4622830.91441,"299","0","0","0","0","0","0","0","0","0","0","1","1"
"302",430010.85321,4622715.40053,"0","0","0","0","0","0","0","0","0","0","0","1","1"
"303",430034.15785,4623137.80640,"0","0","0","0","0","0","0","0","0","0","0","1","1"
"304",430424.22437,4623017.67838,"301","0","0","0","0","0","0","0","0","0","0","1","1"
"305",430424.19231,4622605.48916,"302","0","0","0","0","0","0","0","0","0","0","1","1"
"306",430853.35906,4623010.15795,"303","0","0","0","0","0","0","0","0","0","0","1","1"
"307",430842.66634,4622601.35722,"304","0","0","0","0","0","0","0","0","0","0","1","1"
"308",431272.58865,4622934.93434,"305","0","0","0","0","0","0","0","0","0","0","1","1"
"309",431276.53626,4622525.50857,"306","0","0","0","0","0","0","0","0","0","0","1","1"
"310",431694.25418,4622943.80930,"307","0","0","0","0","0","0","0","0","0","0","1","1"
